"emotion","polarity","score"
"unknown","positive",2
"joy","neutral",2
"unknown","positive",1
"joy","positive",4
"joy","positive",2
"surprise","positive",2
"unknown","positive",0
"unknown","positive",2
"anger","negative",2
"unknown","positive",2
"unknown","positive",2
"unknown","positive",3
"unknown","positive",1
"unknown","positive",2
"unknown","neutral",3
"joy","positive",4
"unknown","negative",0
"unknown","positive",1
"sadness","negative",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",3
"unknown","positive",0
"unknown","positive",2
"unknown","neutral",3
"unknown","neutral",1
"unknown","positive",1
"unknown","positive",2
"joy","neutral",1
"unknown","positive",0
"unknown","positive",3
"joy","neutral",1
"unknown","positive",3
"unknown","positive",2
"unknown","positive",3
"unknown","positive",0
"unknown","positive",2
"unknown","negative",0
"joy","positive",4
"surprise","positive",2
"unknown","negative",1
"anger","neutral",1
"unknown","positive",2
"unknown","positive",1
"surprise","positive",2
"unknown","negative",2
"unknown","positive",0
"unknown","positive",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",3
"joy","positive",3
"fear","positive",5
"joy","positive",4
"joy","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"surprise","neutral",2
"unknown","positive",2
"unknown","positive",0
"unknown","positive",3
"unknown","positive",1
"joy","positive",1
"unknown","negative",0
"surprise","positive",1
"unknown","neutral",2
"unknown","negative",-1
"surprise","negative",1
"joy","positive",2
"unknown","positive",4
"unknown","positive",3
"unknown","positive",1
"unknown","positive",1
"joy","positive",4
"unknown","positive",2
"unknown","positive",4
"unknown","negative",5
"unknown","positive",3
"unknown","negative",2
"unknown","positive",4
"unknown","positive",2
"surprise","negative",2
"joy","positive",5
"joy","positive",4
"unknown","positive",3
"surprise","positive",2
"surprise","positive",3
"unknown","positive",3
"disgust","positive",5
"joy","positive",5
"unknown","positive",1
"joy","positive",3
"unknown","positive",5
"unknown","negative",2
"unknown","positive",2
"joy","negative",1
"joy","positive",3
"surprise","neutral",2
"joy","positive",5
"unknown","neutral",1
"surprise","neutral",3
"unknown","positive",2
"surprise","neutral",2
"unknown","positive",2
"surprise","neutral",2
"unknown","positive",3
"joy","positive",4
"anger","positive",1
"unknown","positive",1
"unknown","neutral",3
"joy","negative",0
"unknown","positive",1
"unknown","positive",1
"anger","positive",1
"unknown","positive",3
"unknown","positive",3
"unknown","positive",1
"joy","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",3
"unknown","positive",3
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"joy","negative",0
"unknown","neutral",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",3
"joy","positive",3
"joy","negative",2
"unknown","positive",3
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","negative",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","neutral",1
"unknown","negative",1
"unknown","negative",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",1
"surprise","neutral",1
"unknown","positive",2
"surprise","neutral",2
"surprise","neutral",1
"unknown","negative",-1
"unknown","negative",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"joy","positive",1
"unknown","negative",-1
"unknown","negative",0
"surprise","negative",1
"unknown","positive",3
"unknown","positive",1
"joy","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",2
"joy","negative",1
"unknown","negative",-2
"unknown","positive",3
"anger","positive",1
"surprise","positive",2
"unknown","negative",1
"joy","positive",3
"unknown","positive",2
"unknown","positive",1
"unknown","positive",4
"sadness","negative",1
"sadness","negative",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",3
"unknown","positive",3
"unknown","positive",0
"joy","negative",1
"unknown","neutral",1
"anger","neutral",1
"unknown","negative",-1
"unknown","negative",0
"unknown","positive",1
"unknown","negative",0
"sadness","neutral",1
"unknown","negative",1
"unknown","positive",2
"unknown","positive",1
"surprise","negative",0
"unknown","negative",0
"sadness","negative",0
"surprise","negative",0
"unknown","negative",0
"unknown","positive",2
"unknown","positive",1
"unknown","negative",1
"unknown","negative",1
"unknown","positive",0
"unknown","positive",1
"joy","positive",5
"unknown","positive",1
"unknown","negative",0
"unknown","neutral",1
"unknown","positive",2
"unknown","negative",1
"unknown","negative",1
"joy","negative",0
"unknown","positive",1
"joy","negative",1
"unknown","positive",1
"unknown","positive",1
"joy","neutral",2
"joy","negative",2
"unknown","positive",1
"unknown","positive",1
"unknown","negative",1
"unknown","negative",1
"unknown","negative",1
"unknown","negative",1
"unknown","positive",2
"unknown","positive",2
"unknown","negative",1
"unknown","neutral",1
"unknown","negative",1
"unknown","positive",2
"unknown","negative",1
"unknown","neutral",3
"unknown","negative",1
"unknown","negative",1
"unknown","positive",2
"unknown","negative",-1
"unknown","negative",0
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","neutral",0
"surprise","positive",2
"unknown","neutral",0
"unknown","neutral",0
"unknown","negative",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",2
"unknown","negative",1
"joy","positive",1
"unknown","positive",1
"unknown","negative",1
"unknown","positive",1
"joy","neutral",1
"joy","negative",1
"unknown","positive",1
"joy","negative",2
"unknown","negative",0
"unknown","positive",1
"unknown","positive",1
"joy","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","neutral",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"anger","positive",1
"joy","positive",3
"sadness","negative",1
"unknown","positive",1
"joy","positive",2
"unknown","positive",1
"joy","negative",2
"unknown","positive",1
"sadness","positive",1
"unknown","positive",1
"unknown","positive",2
"joy","positive",2
"unknown","positive",3
"joy","positive",2
"unknown","negative",-1
"unknown","negative",-1
"joy","positive",2
"unknown","positive",2
"unknown","negative",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",2
"joy","positive",2
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","negative",0
"joy","positive",1
"unknown","negative",1
"unknown","positive",1
"unknown","negative",1
"unknown","negative",1
"unknown","negative",1
"unknown","negative",0
"unknown","negative",0
"joy","negative",-1
"unknown","neutral",1
"unknown","neutral",0
"unknown","positive",1
"unknown","neutral",2
"unknown","positive",1
"joy","negative",-1
"unknown","positive",0
"unknown","negative",1
"unknown","negative",0
"unknown","positive",1
"unknown","positive",1
"joy","neutral",1
"unknown","positive",2
"unknown","positive",3
"unknown","negative",0
"unknown","negative",-4
"unknown","positive",1
"unknown","negative",1
"unknown","positive",1
"unknown","positive",1
"unknown","negative",1
"unknown","negative",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"sadness","negative",-1
"unknown","positive",2
"joy","positive",3
"unknown","neutral",0
"joy","positive",4
"unknown","positive",1
"unknown","positive",1
"anger","positive",1
"unknown","positive",1
"joy","neutral",2
"unknown","negative",1
"joy","positive",2
"unknown","negative",0
"unknown","positive",1
"unknown","negative",0
"unknown","negative",-1
"unknown","positive",1
"unknown","negative",0
"unknown","positive",1
"unknown","negative",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",3
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","negative",0
"unknown","neutral",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"joy","positive",1
"unknown","positive",1
"unknown","neutral",2
"unknown","neutral",1
"unknown","positive",1
"anger","positive",2
"unknown","negative",0
"unknown","negative",-1
"unknown","positive",1
"unknown","positive",3
"unknown","positive",1
"unknown","positive",2
"unknown","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","negative",0
"unknown","positive",2
"unknown","positive",1
"fear","negative",0
"unknown","positive",2
"unknown","positive",1
"unknown","neutral",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",3
"unknown","positive",1
"unknown","positive",1
"unknown","neutral",1
"unknown","positive",3
"unknown","positive",0
"unknown","positive",1
"joy","positive",6
"unknown","positive",1
"unknown","positive",3
"unknown","neutral",0
"unknown","positive",1
"joy","positive",1
"unknown","positive",4
"joy","positive",1
"unknown","positive",1
"unknown","positive",4
"unknown","positive",3
"unknown","positive",4
"joy","positive",2
"unknown","positive",4
"unknown","positive",4
"unknown","positive",1
"joy","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"joy","positive",1
"unknown","neutral",2
"unknown","neutral",1
"unknown","positive",1
"unknown","negative",0
"joy","positive",2
"unknown","positive",3
"unknown","positive",3
"unknown","positive",1
"unknown","neutral",1
"unknown","neutral",1
"surprise","positive",2
"unknown","positive",2
"unknown","positive",1
"unknown","neutral",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",3
"fear","neutral",3
"unknown","neutral",2
"unknown","negative",1
"joy","positive",3
"unknown","positive",2
"joy","positive",0
"unknown","neutral",2
"unknown","negative",1
"unknown","neutral",2
"unknown","positive",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"fear","negative",-2
"unknown","positive",1
"joy","positive",3
"unknown","neutral",-1
"sadness","negative",1
"unknown","positive",2
"unknown","positive",4
"unknown","positive",2
"unknown","neutral",3
"fear","negative",0
